"PARAMETER","YEAR","LAT","LON","ANN","Month","UV_INDEX","month_numeric","date","month_year"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Jan",3.15,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Feb",2.95,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Mar",2.04,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Apr",1.26,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"May",0.78,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Jun",0.5,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Jul",0.58,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Aug",0.86,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Sep",1.34,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Oct",2.09,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Nov",2.8,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,18.5,1.77,"Dec",2.9,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Jan",3.26,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Feb",3.02,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Mar",2.09,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Apr",1.31,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"May",0.79,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Jun",0.52,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Jul",0.59,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Aug",0.9,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Sep",1.42,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Oct",2.13,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Nov",2.89,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,19.5,1.83,"Dec",3.01,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Jan",3.29,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Feb",3.05,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Mar",2.09,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Apr",1.37,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"May",0.85,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Jun",0.54,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Jul",0.63,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Aug",0.99,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Sep",1.47,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Oct",2.17,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Nov",2.92,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,20.5,1.87,"Dec",3.11,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Jan",3.37,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Feb",2.86,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Mar",2.15,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Apr",1.35,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"May",0.85,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Jun",0.54,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Jul",0.62,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Aug",0.97,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Sep",1.49,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Oct",2.19,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Nov",2.98,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,21.5,1.87,"Dec",3.03,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Jan",3.38,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Feb",2.98,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Mar",2.18,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Apr",1.4,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"May",0.85,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Jun",0.55,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Jul",0.63,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Aug",0.99,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Sep",1.53,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Oct",2.14,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Nov",3.04,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,22.5,1.89,"Dec",3.03,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Jan",3.21,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Feb",2.9,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Mar",2.03,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Apr",1.35,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"May",0.83,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Jun",0.5,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Jul",0.61,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Aug",0.93,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Sep",1.46,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Oct",2.08,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Nov",2.89,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-31.5,23.5,1.82,"Dec",3.04,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Jan",3,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Feb",2.76,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Mar",1.95,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Apr",1.15,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"May",0.71,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Jun",0.44,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Jul",0.51,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Aug",0.77,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Sep",1.22,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Oct",1.99,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Nov",2.67,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,18.5,1.66,"Dec",2.79,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Jan",3.25,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Feb",2.95,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Mar",2.06,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Apr",1.23,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"May",0.75,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Jun",0.47,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Jul",0.53,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Aug",0.83,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Sep",1.32,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Oct",2.08,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Nov",2.92,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,19.5,1.79,"Dec",3.04,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Jan",3.09,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Feb",2.75,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Mar",2.06,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Apr",1.26,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"May",0.77,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Jun",0.49,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Jul",0.55,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Aug",0.87,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Sep",1.35,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Oct",2.07,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Nov",2.87,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,20.5,1.76,"Dec",3.01,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Jan",3.16,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Feb",2.76,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Mar",1.99,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Apr",1.29,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"May",0.79,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Jun",0.5,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Jul",0.56,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Aug",0.9,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Sep",1.38,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Oct",2.01,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Nov",2.89,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,21.5,1.76,"Dec",2.94,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Jan",3.06,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Feb",2.71,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Mar",1.98,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Apr",1.29,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"May",0.75,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Jun",0.49,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Jul",0.55,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Aug",0.91,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Sep",1.38,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Oct",1.94,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Nov",2.81,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,22.5,1.73,"Dec",2.84,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Jan",3.14,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Feb",2.6,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Mar",1.97,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Apr",1.23,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"May",0.75,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Jun",0.48,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Jul",0.54,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Aug",0.88,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Sep",1.34,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Oct",1.87,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Nov",2.81,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-32.5,23.5,1.7,"Dec",2.83,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Jan",3.1,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Feb",2.79,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Mar",1.95,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Apr",1.12,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"May",0.65,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Jun",0.4,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Jul",0.45,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Aug",0.71,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Sep",1.15,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Oct",1.93,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Nov",2.67,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,18.5,1.66,"Dec",2.96,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Jan",3.18,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Feb",2.83,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Mar",2,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Apr",1.15,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"May",0.67,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Jun",0.42,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Jul",0.47,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Aug",0.74,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Sep",1.21,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Oct",1.91,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Nov",2.76,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,19.5,1.69,"Dec",2.97,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Jan",3.17,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Feb",2.74,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Mar",1.96,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Apr",1.17,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"May",0.68,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Jun",0.43,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Jul",0.48,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Aug",0.79,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Sep",1.25,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Oct",1.86,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Nov",2.75,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,20.5,1.68,"Dec",2.94,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Jan",3.07,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Feb",2.73,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Mar",1.95,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Apr",1.16,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"May",0.69,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Jun",0.43,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Jul",0.47,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Aug",0.8,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Sep",1.29,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Oct",1.81,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Nov",2.69,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,21.5,1.66,"Dec",2.86,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Jan",3.03,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Feb",2.64,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Mar",1.91,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Apr",1.17,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"May",0.68,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Jun",0.43,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Jul",0.47,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Aug",0.79,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Sep",1.27,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Oct",1.76,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Nov",2.7,11,2012-11-01,"2012-11"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,22.5,1.64,"Dec",2.79,12,2012-12-01,"2012-12"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Jan",3.03,1,2012-01-01,"2012-01"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Feb",2.57,2,2012-02-01,"2012-02"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Mar",1.86,3,2012-03-01,"2012-03"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Apr",1.17,4,2012-04-01,"2012-04"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"May",0.67,5,2012-05-01,"2012-05"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Jun",0.43,6,2012-06-01,"2012-06"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Jul",0.47,7,2012-07-01,"2012-07"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Aug",0.79,8,2012-08-01,"2012-08"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Sep",1.28,9,2012-09-01,"2012-09"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Oct",1.66,10,2012-10-01,"2012-10"
"ALLSKY_SFC_UV_INDEX",2012,-33.5,23.5,1.6,"Nov",2.67,11,2012-11-01,"2012-11"
