"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94"
"1",0,0.29263,0.301245,0.295236,0.284878,0.283938,0.305845,0.305152,0.287836,0.296447,0.295224,0.296268,0.293196,0.303046,0.290721,0.291985,0.301354,0.295362,0.285206,0.294842,0.287372,0.29335,0.288393,0.298883,0.290911,0.302558,0.300331,0.291963,0.28881,0.29106,0.30612,0.298451,0.291945,0.309379,0.309596,0.293103,0.301927,0.313008,0.30056,0.300486,0.296927,0.301709,0.301579,0.283316,0.300381,0.296899,0.292711,0.318274,0.299441,0.301575,0.322205,0.316968,0.311004,0.31817,0.316612,0.329566,0.314838,0.316175,0.311208,0.321456,0.321937,0.313042,0.316667,0.315541,0.318484,0.31919,0.317812,0.316941,0.324383,0.323297,0.323735,0.327752,0.323947,0.314344,0.320901,0.323462,0.3145,0.3114,0.310031,0.311865,0.323128,0.314169,0.318251,0.315361,0.322503,0.308835,0.323447,0.319924,0.316556,0.317662,0.320163,0.32001,0.312389,0.314514
"2",0.29263,0,0.303038,0.291993,0.288559,0.279661,0.298328,0.298221,0.294661,0.298381,0.289314,0.292145,0.298348,0.297191,0.296113,0.293991,0.293631,0.296494,0.274455,0.300152,0.288657,0.292941,0.295782,0.298785,0.289621,0.29378,0.298833,0.291635,0.284789,0.294627,0.30519,0.295973,0.294577,0.307051,0.306884,0.294817,0.301694,0.306329,0.296216,0.3,0.294557,0.29494,0.276042,0.294636,0.307527,0.294527,0.289957,0.309185,0.289714,0.30628,0.31926,0.316257,0.305711,0.308662,0.319954,0.315936,0.312104,0.31888,0.306968,0.30898,0.318596,0.312214,0.316717,0.308581,0.312819,0.316451,0.311168,0.31859,0.31426,0.317777,0.311131,0.319595,0.321077,0.314829,0.311802,0.308172,0.307897,0.311563,0.312148,0.317917,0.306844,0.304894,0.320066,0.318032,0.309324,0.306554,0.316117,0.313306,0.308633,0.313656,0.31593,0.308103,0.309204,0.314239
"3",0.301245,0.303038,0,0.291793,0.295512,0.295627,0.284177,0.283791,0.296104,0.288928,0.292763,0.28606,0.288418,0.294742,0.297918,0.28327,0.290479,0.302819,0.293186,0.296151,0.291307,0.299057,0.293486,0.293195,0.306205,0.293758,0.29825,0.304887,0.306374,0.296895,0.282119,0.308354,0.308775,0.291467,0.29173,0.292393,0.279742,0.280744,0.287383,0.289206,0.28651,0.278978,0.290355,0.275581,0.286094,0.282421,0.294013,0.289374,0.291033,0.283131,0.286898,0.277693,0.277595,0.275528,0.285172,0.281646,0.284826,0.284983,0.274797,0.287145,0.288354,0.279995,0.28912,0.27868,0.286534,0.283414,0.277581,0.295332,0.289193,0.288002,0.287259,0.283729,0.284505,0.275963,0.28912,0.289112,0.284341,0.277044,0.282081,0.283688,0.284982,0.283777,0.284163,0.276609,0.282703,0.282119,0.287544,0.285263,0.278004,0.279818,0.278526,0.278497,0.274905,0.277806
"4",0.295236,0.291993,0.291793,0,0.292131,0.292434,0.294036,0.2942,0.295736,0.297427,0.297854,0.290692,0.291107,0.301413,0.294527,0.29115,0.29497,0.299468,0.296816,0.303436,0.293305,0.298043,0.296348,0.29296,0.29358,0.290925,0.293522,0.292772,0.299873,0.287329,0.287102,0.296918,0.296197,0.295288,0.295305,0.295638,0.297454,0.296086,0.286601,0.298197,0.285732,0.293939,0.286221,0.283367,0.292014,0.293583,0.297967,0.303011,0.290477,0.293308,0.308113,0.298407,0.291392,0.299543,0.304419,0.307352,0.297824,0.307938,0.29787,0.312421,0.29856,0.304795,0.300228,0.30557,0.300866,0.297821,0.303011,0.306807,0.311567,0.289754,0.308117,0.313619,0.297478,0.297017,0.307264,0.310279,0.294927,0.300051,0.296608,0.307731,0.29821,0.294564,0.290774,0.299874,0.303979,0.295586,0.29557,0.310419,0.303023,0.298585,0.29891,0.294252,0.297926,0.296091
"5",0.284878,0.288559,0.295512,0.292131,0,0.296986,0.296574,0.297277,0.301597,0.283815,0.29414,0.283708,0.298243,0.299975,0.303258,0.286585,0.299439,0.300891,0.282741,0.300685,0.293938,0.289252,0.29504,0.293588,0.29498,0.293517,0.299314,0.303757,0.298982,0.29291,0.290768,0.284048,0.301359,0.303946,0.304006,0.296657,0.303165,0.297945,0.292038,0.294538,0.289881,0.28686,0.286695,0.298234,0.297791,0.292185,0.299821,0.30605,0.29302,0.299696,0.303476,0.301829,0.297713,0.306554,0.312373,0.311215,0.302261,0.303896,0.294575,0.310371,0.305429,0.301733,0.311055,0.305697,0.304554,0.310512,0.306911,0.309561,0.307321,0.304254,0.304359,0.31193,0.31155,0.302057,0.318124,0.315608,0.311708,0.305499,0.306431,0.309089,0.304186,0.301422,0.299114,0.308435,0.314027,0.306513,0.309433,0.313529,0.307015,0.306804,0.30499,0.304757,0.298018,0.306231
"6",0.283938,0.279661,0.295627,0.292434,0.296986,0,0.299469,0.299416,0.300581,0.289015,0.277679,0.299898,0.29934,0.299949,0.30137,0.303115,0.293923,0.295968,0.13572,0.298558,0.297359,0.296843,0.291478,0.302223,0.30221,0.297531,0.299848,0.29504,0.303069,0.299847,0.304348,0.288043,0.298696,0.303734,0.304524,0.297956,0.30048,0.302073,0.295259,0.301323,0.290518,0.293856,0.27968,0.300051,0.307439,0.302226,0.300254,0.311249,0.294661,0.301441,0.311688,0.311646,0.311075,0.300865,0.309783,0.315044,0.308589,0.309481,0.297359,0.309873,0.312294,0.314199,0.308209,0.304767,0.309839,0.313467,0.31003,0.319323,0.313783,0.314754,0.31152,0.32298,0.318308,0.313512,0.309554,0.320457,0.311063,0.301904,0.308989,0.307566,0.312292,0.308276,0.313904,0.306787,0.307409,0.302425,0.31597,0.316999,0.304856,0.308451,0.309566,0.310646,0.308686,0.306993
"7",0.305845,0.298328,0.284177,0.294036,0.296574,0.299469,0,0.001397,0.29519,0.287955,0.292226,0.290742,0.29245,0.302329,0.306353,0.290715,0.283312,0.313691,0.295921,0.301191,0.283897,0.299847,0.290298,0.284557,0.293713,0.288025,0.291857,0.303422,0.298729,0.290318,0.290633,0.300861,0.299974,0.305991,0.307011,0.294259,0.296839,0.295719,0.287148,0.284641,0.287975,0.287821,0.292228,0.284474,0.286746,0.28814,0.291178,0.281202,0.283143,0.282042,0.301608,0.288866,0.275578,0.28586,0.301798,0.2904,0.290662,0.286793,0.285569,0.28769,0.291688,0.293669,0.288686,0.291667,0.284201,0.286186,0.285714,0.29202,0.285914,0.282188,0.29361,0.29661,0.289707,0.283143,0.291191,0.295368,0.291899,0.276817,0.290153,0.288593,0.293386,0.288179,0.297598,0.286837,0.29065,0.288155,0.296827,0.294207,0.286606,0.286113,0.290417,0.293498,0.288432,0.295472
"8",0.305152,0.298221,0.283791,0.2942,0.297277,0.299416,0.001397,0,0.294924,0.287437,0.292175,0.290591,0.291794,0.302919,0.305046,0.289748,0.282975,0.31379,0.295582,0.301932,0.284404,0.299156,0.290421,0.284391,0.294283,0.288506,0.291677,0.303127,0.299542,0.290475,0.289614,0.300585,0.30018,0.306619,0.307819,0.294976,0.295587,0.296419,0.287207,0.284857,0.287529,0.287353,0.291879,0.285037,0.287004,0.287856,0.291283,0.281369,0.283935,0.281957,0.301305,0.289293,0.276292,0.28628,0.300889,0.289815,0.290458,0.286595,0.285641,0.287077,0.29136,0.293112,0.288241,0.292282,0.284763,0.28566,0.285823,0.293126,0.286606,0.282015,0.292818,0.296701,0.289574,0.283355,0.291624,0.293847,0.291571,0.27707,0.289177,0.288383,0.293649,0.286877,0.297743,0.286658,0.290466,0.288832,0.296716,0.293909,0.28597,0.286677,0.290339,0.292717,0.28784,0.29523
"9",0.287836,0.294661,0.296104,0.295736,0.301597,0.300581,0.29519,0.294924,0,0.276711,0.296713,0.292484,0.293528,0.296006,0.302665,0.298228,0.297125,0.300812,0.298532,0.293143,0.294588,0.293661,0.294222,0.297499,0.299035,0.3,0.29777,0.292458,0.296066,0.296183,0.296587,0.293269,0.299003,0.295001,0.295121,0.268376,0.284831,0.300885,0.298199,0.290766,0.291804,0.289507,0.29191,0.293645,0.293396,0.289094,0.292059,0.30545,0.284177,0.28978,0.306752,0.304078,0.297465,0.306489,0.314065,0.308451,0.298099,0.310583,0.299924,0.301392,0.305113,0.301779,0.303648,0.297818,0.30051,0.300101,0.29815,0.306332,0.293685,0.303277,0.309236,0.311569,0.30846,0.301975,0.307069,0.310196,0.300177,0.301599,0.308685,0.31182,0.305919,0.306203,0.302196,0.303951,0.30698,0.295753,0.313213,0.301036,0.298473,0.309241,0.300279,0.301167,0.29843,0.303107
"10",0.296447,0.298381,0.288928,0.297427,0.283815,0.289015,0.287955,0.287437,0.276711,0,0.302705,0.275146,0.293327,0.297802,0.297945,0.290053,0.287131,0.302181,0.290465,0.306068,0.285352,0.291041,0.282219,0.28714,0.297002,0.287987,0.294147,0.30081,0.299214,0.289039,0.291003,0.291909,0.301022,0.285624,0.286021,0.262055,0.291498,0.283312,0.29191,0.291603,0.290518,0.281797,0.283486,0.289413,0.284341,0.290792,0.293564,0.287506,0.28998,0.287285,0.296358,0.290707,0.287652,0.287513,0.301946,0.29469,0.293767,0.296627,0.288471,0.288194,0.286545,0.289888,0.2868,0.284102,0.284094,0.293431,0.285208,0.299769,0.281298,0.285352,0.293928,0.30202,0.283965,0.293343,0.296174,0.287421,0.284794,0.288017,0.293081,0.293448,0.293598,0.285009,0.289753,0.296582,0.295991,0.284613,0.291255,0.295127,0.292779,0.289853,0.292206,0.287072,0.286456,0.287932
"11",0.295224,0.289314,0.292763,0.297854,0.29414,0.277679,0.292226,0.292175,0.296713,0.302705,0,0.290084,0.29807,0.295828,0.296597,0.290368,0.296589,0.296978,0.266203,0.292205,0.294917,0.296537,0.296895,0.291783,0.297431,0.302394,0.297033,0.295973,0.297943,0.288697,0.303187,0.301013,0.293298,0.297929,0.298002,0.297448,0.291614,0.310602,0.295431,0.309366,0.296685,0.300839,0.285025,0.294005,0.307799,0.296278,0.288643,0.299594,0.292933,0.299165,0.313328,0.320705,0.301927,0.30494,0.316376,0.314051,0.31288,0.312948,0.305111,0.311914,0.318815,0.313199,0.309965,0.315102,0.306279,0.318701,0.309554,0.308156,0.31223,0.312706,0.315106,0.316355,0.31539,0.31527,0.320061,0.311038,0.311077,0.305739,0.310072,0.313797,0.308639,0.309681,0.311821,0.319691,0.302919,0.317952,0.314768,0.316987,0.311402,0.309144,0.30648,0.308376,0.303015,0.311299
"12",0.296268,0.292145,0.28606,0.290692,0.283708,0.299898,0.290742,0.290591,0.292484,0.275146,0.290084,0,0.299156,0.295773,0.298133,0.286626,0.288279,0.296164,0.292813,0.302474,0.295955,0.293249,0.293415,0.287825,0.29457,0.285843,0.294891,0.307575,0.29867,0.292051,0.292431,0.298802,0.295882,0.293818,0.29396,0.290331,0.284224,0.289554,0.292614,0.302129,0.288153,0.282864,0.292742,0.291056,0.300383,0.282254,0.284432,0.297829,0.288957,0.29429,0.297818,0.28854,0.28597,0.296206,0.296381,0.303799,0.294328,0.303995,0.284635,0.306641,0.297807,0.292296,0.299617,0.296396,0.29383,0.303937,0.300357,0.299871,0.300537,0.298695,0.296762,0.30028,0.297225,0.300357,0.298978,0.298028,0.298956,0.29204,0.29753,0.29342,0.297057,0.298138,0.298652,0.292932,0.302174,0.288971,0.303704,0.298956,0.288718,0.296939,0.300844,0.297649,0.290582,0.294986
"13",0.293196,0.298348,0.288418,0.291107,0.298243,0.29934,0.29245,0.291794,0.293528,0.293327,0.29807,0.299156,0,0.305048,0.303949,0.288657,0.297087,0.307389,0.294611,0.300254,0.294335,0.29335,0.291361,0.295685,0.295866,0.29302,0.292366,0.304016,0.304281,0.300383,0.288471,0.298018,0.297047,0.292776,0.292386,0.288866,0.2893,0.283338,0.289299,0.293509,0.290196,0.284421,0.290775,0.286501,0.282664,0.290216,0.29954,0.288041,0.284807,0.282576,0.291816,0.290163,0.283168,0.289985,0.300737,0.296823,0.287369,0.293325,0.283601,0.292546,0.294334,0.291146,0.292621,0.296409,0.296031,0.291592,0.29137,0.297297,0.294627,0.294643,0.297598,0.297184,0.290462,0.28831,0.298625,0.301762,0.298045,0.29189,0.288096,0.296645,0.295805,0.293871,0.284736,0.288784,0.29378,0.297335,0.292388,0.303019,0.286663,0.289199,0.295333,0.291645,0.295142,0.295916
"14",0.303046,0.297191,0.294742,0.301413,0.299975,0.299949,0.302329,0.302919,0.296006,0.297802,0.295828,0.295773,0.305048,0,0.281781,0.298886,0.299364,0.288505,0.292711,0.253478,0.29751,0.298829,0.292055,0.293025,0.293901,0.306086,0.291181,0.296381,0.289827,0.297761,0.302073,0.287503,0.304703,0.297427,0.297953,0.291793,0.308304,0.302226,0.298072,0.299873,0.296535,0.298248,0.294088,0.293345,0.298912,0.291624,0.298855,0.308287,0.301366,0.300126,0.315508,0.307644,0.307127,0.312341,0.32225,0.315457,0.310345,0.311557,0.303431,0.318262,0.30741,0.308005,0.310489,0.310091,0.309408,0.308473,0.30664,0.312404,0.306415,0.309596,0.314076,0.309265,0.31119,0.310807,0.318297,0.31215,0.309452,0.303531,0.312771,0.314777,0.313828,0.309777,0.307246,0.306991,0.309234,0.317711,0.312167,0.314899,0.310226,0.309162,0.311373,0.302765,0.302658,0.309975
"15",0.290721,0.296113,0.297918,0.294527,0.303258,0.30137,0.306353,0.305046,0.302665,0.297945,0.296597,0.298133,0.303949,0.281781,0,0.298449,0.298467,0.291518,0.295807,0.283664,0.298776,0.296755,0.298886,0.306218,0.300383,0.307741,0.305852,0.294409,0.286115,0.304676,0.30165,0.290704,0.296201,0.292701,0.292206,0.291075,0.302408,0.313611,0.301171,0.307053,0.30612,0.306044,0.300255,0.301435,0.319314,0.288564,0.295426,0.317684,0.299365,0.307946,0.316113,0.314344,0.310542,0.31882,0.321528,0.333884,0.324892,0.318322,0.30569,0.322137,0.320549,0.317138,0.316205,0.312404,0.321986,0.322166,0.317731,0.318451,0.314664,0.315179,0.323864,0.32247,0.314101,0.316565,0.323365,0.316407,0.314721,0.315098,0.316316,0.320584,0.321888,0.320066,0.32294,0.318078,0.322675,0.322045,0.327182,0.322298,0.310728,0.313088,0.310301,0.31721,0.318159,0.31334
"16",0.291985,0.293991,0.28327,0.29115,0.286585,0.303115,0.290715,0.289748,0.298228,0.290053,0.290368,0.286626,0.288657,0.298886,0.298449,0,0.283457,0.302136,0.299594,0.2964,0.298192,0.290582,0.291277,0.290854,0.294934,0.300919,0.305661,0.302208,0.293796,0.289192,0.288627,0.29285,0.290984,0.293448,0.293767,0.295621,0.295219,0.295161,0.292578,0.292655,0.294297,0.288623,0.297356,0.293915,0.305302,0.292745,0.29898,0.306071,0.291603,0.29455,0.312484,0.298223,0.299289,0.29531,0.308619,0.305224,0.310467,0.301768,0.291624,0.305711,0.302535,0.306164,0.305612,0.302337,0.304548,0.307448,0.311151,0.308888,0.302541,0.309796,0.315708,0.308783,0.310301,0.306648,0.315215,0.306448,0.308842,0.302876,0.305221,0.306717,0.312709,0.299239,0.298179,0.304315,0.307174,0.302482,0.311103,0.300886,0.302957,0.304971,0.307937,0.299949,0.297918,0.302708
"17",0.301354,0.293631,0.290479,0.29497,0.299439,0.293923,0.283312,0.282975,0.297125,0.287131,0.296589,0.288279,0.297087,0.299364,0.298467,0.283457,0,0.308046,0.295999,0.297886,0.291891,0.293899,0.28936,0.290585,0.297263,0.283701,0.298673,0.308947,0.304598,0.293854,0.298498,0.289152,0.303833,0.299924,0.300535,0.288075,0.292069,0.299771,0.288412,0.294464,0.284823,0.287577,0.290549,0.298998,0.297962,0.293323,0.290984,0.296759,0.291592,0.291932,0.303768,0.291688,0.289178,0.297595,0.304912,0.302266,0.297601,0.297634,0.28915,0.298138,0.301375,0.296367,0.301964,0.294028,0.302105,0.299617,0.296121,0.302401,0.299005,0.294862,0.311675,0.295015,0.295576,0.292357,0.295588,0.295292,0.293766,0.290846,0.295706,0.294395,0.302706,0.295078,0.290597,0.293218,0.300766,0.288021,0.297677,0.293818,0.290963,0.290573,0.300102,0.291624,0.291507,0.289855
"18",0.295362,0.296494,0.302819,0.299468,0.300891,0.295968,0.313691,0.31379,0.300812,0.302181,0.296978,0.296164,0.307389,0.288505,0.291518,0.302136,0.308046,0,0.296494,0.290831,0.304819,0.312803,0.296278,0.311421,0.295205,0.310503,0.316586,0.289781,0.29121,0.298519,0.310739,0.292736,0.291357,0.305879,0.306042,0.293283,0.301901,0.320848,0.308554,0.30953,0.312214,0.305839,0.301274,0.297363,0.32533,0.308132,0.306719,0.327735,0.305132,0.316404,0.345996,0.334054,0.334521,0.324732,0.332572,0.337907,0.336558,0.336798,0.32182,0.343003,0.333884,0.331803,0.334012,0.332442,0.3312,0.338726,0.333079,0.333719,0.335667,0.326918,0.334281,0.336039,0.332911,0.331894,0.345165,0.342992,0.330754,0.333928,0.332521,0.338288,0.331319,0.326297,0.336248,0.334732,0.34051,0.331007,0.339908,0.339503,0.323417,0.336468,0.337752,0.332527,0.328208,0.335151
"19",0.285206,0.274455,0.293186,0.296816,0.282741,0.13572,0.295921,0.295582,0.298532,0.290465,0.266203,0.292813,0.294611,0.292711,0.295807,0.299594,0.295999,0.296494,0,0.294602,0.292779,0.292761,0.289288,0.303011,0.298549,0.295872,0.298072,0.295437,0.293849,0.293503,0.309952,0.287107,0.300256,0.306117,0.306913,0.291783,0.303919,0.297924,0.288979,0.30051,0.292479,0.305541,0.282774,0.293103,0.304056,0.301191,0.296457,0.307565,0.287959,0.294758,0.312069,0.308727,0.307819,0.29791,0.314637,0.313703,0.307282,0.308451,0.293437,0.312104,0.30778,0.303789,0.307741,0.306021,0.313155,0.3095,0.306218,0.307159,0.31196,0.308113,0.306157,0.316721,0.311457,0.314622,0.312643,0.315093,0.307848,0.303381,0.309256,0.308414,0.312773,0.308238,0.308266,0.308365,0.309705,0.297824,0.313611,0.312168,0.309445,0.308999,0.305873,0.313404,0.307,0.308548
"20",0.294842,0.300152,0.296151,0.303436,0.300685,0.298558,0.301191,0.301932,0.293143,0.306068,0.292205,0.302474,0.300254,0.253478,0.283664,0.2964,0.297886,0.290831,0.294602,0,0.301119,0.300382,0.29174,0.30124,0.302468,0.302065,0.305556,0.29417,0.293371,0.298116,0.304276,0.299063,0.313796,0.296993,0.297393,0.302655,0.307935,0.310838,0.298248,0.299108,0.30666,0.301246,0.298145,0.29834,0.313323,0.304232,0.296433,0.311723,0.297188,0.301013,0.328743,0.319173,0.309342,0.314315,0.326918,0.320461,0.318113,0.321474,0.313486,0.326947,0.328857,0.314852,0.328767,0.314373,0.324228,0.323895,0.320015,0.321364,0.313927,0.325108,0.322385,0.321826,0.320905,0.320659,0.321746,0.327564,0.320263,0.307575,0.324808,0.321972,0.322308,0.32391,0.32428,0.31651,0.318216,0.321989,0.319508,0.321654,0.313598,0.320497,0.317535,0.315769,0.318966,0.320824
"21",0.287372,0.288657,0.291307,0.293305,0.293938,0.297359,0.283897,0.284404,0.294588,0.285352,0.294917,0.295955,0.294335,0.29751,0.298776,0.298192,0.291891,0.304819,0.292779,0.301119,0,0.301356,0.288159,0.293953,0.288687,0.289003,0.300611,0.307555,0.29444,0.293253,0.290089,0.295067,0.29525,0.294342,0.294536,0.291497,0.292005,0.293594,0.293376,0.301764,0.286858,0.289763,0.294238,0.288259,0.293766,0.2942,0.286244,0.290701,0.296692,0.291105,0.301486,0.296919,0.286879,0.294403,0.305365,0.301755,0.299236,0.29887,0.30051,0.298192,0.29794,0.295582,0.299108,0.292198,0.294977,0.303439,0.300178,0.302808,0.304508,0.302041,0.290773,0.298883,0.301676,0.296871,0.302803,0.299693,0.297459,0.294515,0.297176,0.303358,0.290497,0.287987,0.299797,0.296617,0.298062,0.294566,0.300459,0.300203,0.294531,0.294073,0.298239,0.291359,0.297989,0.302234
"22",0.29335,0.292941,0.299057,0.298043,0.289252,0.296843,0.299847,0.299156,0.293661,0.291041,0.296537,0.293249,0.29335,0.298829,0.296755,0.290582,0.293899,0.312803,0.292761,0.300382,0.301356,0,0.287875,0.292844,0.297415,0.293952,0.293389,0.298955,0.297929,0.298001,0.289735,0.293833,0.302831,0.29316,0.293174,0.297455,0.299593,0.300255,0.292209,0.293771,0.291465,0.292221,0.298185,0.292266,0.299082,0.291996,0.293793,0.294816,0.290796,0.296612,0.307337,0.299439,0.302655,0.293567,0.309809,0.306016,0.291677,0.299897,0.292627,0.293645,0.298114,0.301049,0.300638,0.297394,0.304443,0.298441,0.298443,0.297677,0.296935,0.302379,0.303497,0.305852,0.306792,0.304897,0.312436,0.303302,0.293608,0.297622,0.298919,0.303034,0.300852,0.295026,0.294836,0.295228,0.303298,0.298243,0.299489,0.30308,0.297848,0.296098,0.295216,0.303754,0.297397,0.297277
